Source,ID,Timestamp,Name,Latitude,Longitude,AQI,PM2.5,PM10,CO,NO2,O3,SO2,Temperature,Humidity,Pressure,Wind Speed
gov,29195707587706641566224751462,08/04/2025 16:00,Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),21.59315,105.8431,172,171.59768728494674,91.01170625,4.222786,,,2.76,25.75,76.0,1012.0,3.96
gov,28505268571336961948594948504,08/04/2025 16:00,Phú Thọ: đường Hùng Vương - Tp Việt Trì (KK),21.33847,105.3633,122,122.21428817837013,63.19645206839295,,17.1704,77.24787500000002,12.60232,28.05,68.0,1011.0,5.34
gov,31388883344354363840031242796,08/04/2025 16:00,Hà Nam: Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),20.536,105.9165,140,140.1121806633576,,10.896575,4.175,12.95571875,,26.35,75.0,1012.0,3.77
gov,31390932574706768021562473002,08/04/2025 16:00,Long An: UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),10.5391,106.4045,74,74.45193073580201,51.842633193054326,27.826171,,,1.57,30.29,58.0,1009.0,5.14
gov,31388839920718814259329251882,08/04/2025 16:00,"Bình Dương: số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",10.9923,106.6577,72,58.12129389738597,72.07234152832031,,7.7354,,0.6160000000000001,33.03,52.0,1009.0,5.66
gov,31390912357075263208060500522,08/04/2025 16:00,HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),10.7823,106.7528,94,93.96661334942556,57.60755737045007,,7.76335,,16.718,31.71,63.0,1009.0,5.14
gov,31387251434693138681789561386,08/04/2025 16:00,Bắc Giang: Khu liên cơ quan tỉnh Bắc Giang - P. Ngô Quyền - TP. Bắc Giang (KK),21.3015,106.22603,105,105.01041241063048,63.46569106825995,27.294621000000003,2.10585,36.11484375,15.048,24.29,80.0,1012.0,4.37
gov,31390903576425084107499649578,08/04/2025 17:00,Hà Nội: ĐHBK cổng Parabol đường Giải Phóng (KK),21.0052,105.8418,151,151.00057585775903,71.44624696020443,,8.7654,9.47221875,3.02232,27.0,75.0,1011.0,4.2
gov,28560877461938780203765592307,08/04/2025 17:00,Hà Nội: 556 Nguyễn Văn Cừ (KK),21.0491,105.8831,113,112.62815662136808,67.10562583345114,15.0411365,14.38,6.83515625,5.677320000000001,26.96,75.0,1011.0,4.24
gov,31390908889087377344742439468,08/04/2025 17:00,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),21.0031,105.7947,103,102.73919535930108,68.75718120713705,12.9479165,3.15,21.097125,2.097,27.01,74.0,1011.0,4.2
gov,31390912357075263208060500522,08/04/2025 17:00,HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),10.7823,106.7528,85,84.91962493646696,55.01610204019792,,8.44335,,16.57468,31.71,64.0,1009.0,5.14
gov,31388851800421997746903202346,08/04/2025 17:00,Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),16.0622,108.1594,50,49.94464960747104,42.30805869236605,21.329504000000004,12.8204,18.3340625,1.647,27.01,78.0,1012.0,3.6
gov,29195707587706641566224751462,08/04/2025 17:00,Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),21.59315,105.8431,169,169.26842925639468,86.476678125,4.6866015,,,2.27104,24.96,78.0,1012.0,4.28
gov,28505268571336961948594948504,08/04/2025 17:00,Phú Thọ: đường Hùng Vương - Tp Việt Trì (KK),21.33847,105.3633,131,130.80063166675222,66.51810297904592,,18.4946,100.0521,13.021680000000002,27.08,71.0,1011.0,6.09
gov,31387251434693138681789561386,08/04/2025 17:00,Bắc Giang: Khu liên cơ quan tỉnh Bắc Giang - P. Ngô Quyền - TP. Bắc Giang (KK),21.3015,106.22603,98,98.29471500385424,60.34794406847495,27.708921,2.4279,17.0234375,29.87768,24.34,78.0,1012.0,4.37
gov,31388883344354363840031242796,08/04/2025 17:00,Hà Nam: Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),20.536,105.9165,127,126.72765955479632,,11.1249085,5.99955,11.487750000000002,,25.64,79.0,1012.0,3.82
gov,31390932574706768021562473002,08/04/2025 17:00,Long An: UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),10.5391,106.4045,68,67.59789177618286,50.12237684671224,29.827304,,,1.5436800000000002,29.22,65.0,1010.0,4.27
gov,31388839920718814259329251882,08/04/2025 17:00,"Bình Dương: số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",10.9923,106.6577,70,55.11233011378471,69.86593262386265,,4.66,,0.5790000000000001,33.03,52.0,1009.0,5.14
gov,31390903576425084107499649578,08/04/2025 18:00,Hà Nội: ĐHBK cổng Parabol đường Giải Phóng (KK),21.0052,105.8418,148,148.12285596557393,69.68491328028495,,10.5554,9.47221875,2.833,27.0,77.0,1012.0,4.72
gov,28560877461938780203765592307,08/04/2025 18:00,Hà Nội: 556 Nguyễn Văn Cừ (KK),21.0491,105.8831,117,117.35063857790026,69.40773191049377,14.4985625,14.38,7.325,5.686,26.96,77.0,1012.0,4.62
gov,31390908889087377344742439468,08/04/2025 18:00,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),21.0031,105.7947,92,91.5836554284136,68.627845841663,12.7320375,2.80915,21.27553125,2.06132,27.01,77.0,1012.0,4.99
gov,31390912357075263208060500522,08/04/2025 18:00,HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),10.7823,106.7528,66,66.27137066329433,52.57228521849808,,9.78625,,16.544,30.6,66.0,1009.0,5.14
gov,31388851800421997746903202346,08/04/2025 18:00,Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),16.0622,108.1594,49,48.9709126531874,41.56686268847968,26.351550000000003,15.50125,14.675625,1.6943200000000005,26.01,83.0,1013.0,1.54
gov,29195707587706641566224751462,08/04/2025 18:00,Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),21.59315,105.8431,166,165.94055937762775,83.4402890625,6.060391,,,2.60192,23.87,81.0,1013.0,3.25
gov,28505268571336961948594948504,08/04/2025 18:00,Phú Thọ: đường Hùng Vương - Tp Việt Trì (KK),21.33847,105.3633,137,137.22639318366154,69.27532496413724,,18.5254,47.04009375,13.457320000000005,25.51,76.0,1012.0,5.33
gov,31387251434693138681789561386,08/04/2025 18:00,Bắc Giang: Khu liên cơ quan tỉnh Bắc Giang - P. Ngô Quyền - TP. Bắc Giang (KK),21.3015,106.22603,96,95.53825356970852,60.2410147854499,30.067875,2.30335,19.102875,29.27168,23.78,80.0,1013.0,4.22
gov,31388883344354363840031242796,08/04/2025 18:00,Hà Nam: Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),20.536,105.9165,98,97.75056430664064,,11.60335,5.025,9.70390625,,24.73,82.0,1013.0,3.93
gov,31390932574706768021562473002,08/04/2025 18:00,Long An: UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),10.5391,106.4045,62,61.6969219671696,44.3338542280686,30.566121,,,1.49632,28.21,64.0,1010.0,4.53
gov,31388839920718814259329251882,08/04/2025 18:00,"Bình Dương: số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",10.9923,106.6577,67,46.72975300341039,66.87735424648127,,6.8875,,0.8,32.03,55.0,1009.0,5.14
gov,31390903576425084107499649578,08/04/2025 19:00,Hà Nội: ĐHBK cổng Parabol đường Giải Phóng (KK),21.0052,105.8418,139,139.4278998339325,68.0696146889251,,9.51665,9.47221875,2.708,26.0,82.0,1013.0,3.89
gov,28560877461938780203765592307,08/04/2025 19:00,Hà Nội: 556 Nguyễn Văn Cừ (KK),21.0491,105.8831,126,126.14464035754956,73.31681066813522,13.048229,14.38,6.79921875,5.7466800000000005,25.96,82.0,1013.0,3.81
gov,31390908889087377344742439468,08/04/2025 19:00,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),21.0031,105.7947,81,81.39364011951164,66.7163727259672,14.3375125,3.1896,13.71459375,2.243,26.01,82.0,1013.0,4.26
gov,31390912357075263208060500522,08/04/2025 19:00,HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),10.7823,106.7528,54,53.94208100585938,50.73909719195044,,8.48125,,16.37268,30.04,66.0,1010.0,4.63
gov,31388851800421997746903202346,08/04/2025 19:00,Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),16.0622,108.1594,51,50.78613615381574,43.46799623543812,24.2510915,14.81835,19.94946875,1.6390000000000002,26.01,83.0,1013.0,1.03
gov,29195707587706641566224751462,08/04/2025 19:00,Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),21.59315,105.8431,165,164.99905257894886,87.15459453125,7.840579,,,3.37568,23.0,85.0,1013.0,3.05
gov,28505268571336961948594948504,08/04/2025 19:00,Phú Thọ: đường Hùng Vương - Tp Việt Trì (KK),21.33847,105.3633,132,131.76962215766605,68.23647514084011,,21.22085,36.7263125,13.46732,24.28,81.0,1012.0,4.93
gov,31387251434693138681789561386,08/04/2025 19:00,Bắc Giang: Khu liên cơ quan tỉnh Bắc Giang - P. Ngô Quyền - TP. Bắc Giang (KK),21.3015,106.22603,95,94.73214338704136,60.76766198316125,32.7355275,1.96835,19.09765625,21.602000000000004,22.35,85.0,1013.0,3.33
gov,31388883344354363840031242796,08/04/2025 19:00,Hà Nam: Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),20.536,105.9165,73,73.279644140625,,11.9689375,9.15665,8.99271875,,23.27,89.0,1013.0,3.28
gov,31390932574706768021562473002,08/04/2025 19:00,Long An: UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),10.5391,106.4045,55,55.19285639648438,39.3151874892117,31.2094415,,,1.17932,29.44,67.0,1011.0,5.11
gov,31388839920718814259329251882,08/04/2025 19:00,"Bình Dương: số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",10.9923,106.6577,62,42.41481342773438,62.49538794113651,,7.40335,,0.8,31.03,62.0,1010.0,4.63
gov,31390903576425084107499649578,08/04/2025 20:00,Hà Nội: ĐHBK cổng Parabol đường Giải Phóng (KK),21.0052,105.8418,122,122.12183190970306,64.8820168514137,,10.62,9.47221875,2.734,25.0,86.0,1013.0,3.7
gov,28560877461938780203765592307,08/04/2025 20:00,Hà Nội: 556 Nguyễn Văn Cừ (KK),21.0491,105.8831,130,129.5929129435363,74.58318739952722,8.4252915,14.38,6.84975,5.686,24.96,86.0,1013.0,3.61
gov,31390908889087377344742439468,08/04/2025 20:00,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),21.0031,105.7947,82,81.7708961321036,64.73517992344914,13.226896,3.5579,7.307562499999999,2.34432,25.01,86.0,1013.0,3.97
gov,31390912357075263208060500522,08/04/2025 20:00,HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),10.7823,106.7528,48,45.36925986328126,48.23951047619698,,9.6804,,16.25332,30.04,67.0,1011.0,4.63
gov,31388851800421997746903202346,08/04/2025 20:00,Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),16.0622,108.1594,53,52.57528131574671,43.862583384148,18.0482,8.0804,15.1794375,1.74332,26.01,83.0,1014.0,1.03
gov,29195707587706641566224751462,08/04/2025 20:00,Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),21.59315,105.8431,172,172.12405166269212,100.034247265625,9.8082915,,,3.06996,22.86,87.0,1014.0,2.81
gov,28505268571336961948594948504,08/04/2025 20:00,Phú Thọ: đường Hùng Vương - Tp Việt Trì (KK),21.33847,105.3633,126,125.52885893100458,66.60080182666982,,20.8591,30.97640625,12.728360000000002,23.62,85.0,1013.0,4.86
gov,31387251434693138681789561386,08/04/2025 20:00,Bắc Giang: Khu liên cơ quan tỉnh Bắc Giang - P. Ngô Quyền - TP. Bắc Giang (KK),21.3015,106.22603,96,95.78450478617935,61.20715104917897,34.843771000000004,1.53875,14.7981875,16.44,21.95,89.0,1014.0,2.85
gov,31388883344354363840031242796,08/04/2025 20:00,Hà Nam: Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),20.536,105.9165,59,59.08128159179687,,11.835275,6.0146,8.9544375,,22.63,92.0,1014.0,2.94
gov,31390932574706768021562473002,08/04/2025 20:00,Long An: UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),10.5391,106.4045,53,53.23812744140627,39.59751234433597,29.8847665,,,1.23532,29.16,68.0,1012.0,5.05
gov,31388839920718814259329251882,08/04/2025 20:00,"Bình Dương: số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",10.9923,106.6577,59,43.43012114257813,58.58256040563685,,7.4671,,0.8,30.03,62.0,1011.0,4.63
gov,31390903576425084107499649578,08/04/2025 21:00,Hà Nội: ĐHBK cổng Parabol đường Giải Phóng (KK),21.0052,105.8418,102,101.51854243977864,59.22394838651852,,11.51835,9.47221875,2.75232,25.0,87.0,1014.0,3.58
gov,28560877461938780203765592307,08/04/2025 21:00,Hà Nội: 556 Nguyễn Văn Cừ (KK),21.0491,105.8831,128,127.79753291052832,72.09040082926865,6.3118125,14.38,6.9875,5.720680000000001,24.96,87.0,1014.0,3.42
gov,31390908889087377344742439468,08/04/2025 21:00,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),21.0031,105.7947,82,82.37097671932212,64.98771850549684,19.390021,5.16165,1.64009375,2.34732,25.01,87.0,1014.0,3.86
gov,31390912357075263208060500522,08/04/2025 21:00,HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),10.7823,106.7528,42,35.60230205078125,41.99712517089843,,8.6746,,16.36268,28.93,68.0,1012.0,5.14
gov,31388851800421997746903202346,08/04/2025 21:00,Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),16.0622,108.1594,53,53.40977738086967,38.05789241577064,15.9649085,5.11915,12.12290625,1.6283200000000002,26.01,83.0,1015.0,2.06
gov,29195707587706641566224751462,08/04/2025 21:00,Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),21.59315,105.8431,188,188.08135512916164,111.80469863281247,10.4244305,,,2.85584,22.7,88.0,1015.0,3.03
gov,28505268571336961948594948504,08/04/2025 21:00,Phú Thọ: đường Hùng Vương - Tp Việt Trì (KK),21.33847,105.3633,121,120.90287520744964,65.40059535130501,,18.69875,27.971343750000003,10.655,23.66,85.0,1014.0,4.98
gov,31387251434693138681789561386,08/04/2025 21:00,Bắc Giang: Khu liên cơ quan tỉnh Bắc Giang - P. Ngô Quyền - TP. Bắc Giang (KK),21.3015,106.22603,93,92.57936470300145,60.36566302829721,28.3605,1.335,12.31196875,19.171000000000003,21.73,89.0,1015.0,2.75
gov,31388883344354363840031242796,08/04/2025 21:00,Hà Nam: Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),20.536,105.9165,54,54.28457841796875,,11.3416835,4.8991,8.727875000000001,,22.27,93.0,1015.0,2.32
gov,31390932574706768021562473002,08/04/2025 21:00,Long An: UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),10.5391,106.4045,49,48.62527075195314,39.54787835397848,29.475071,,,1.3223200000000002,28.73,68.0,1012.0,5.33
gov,31388839920718814259329251882,08/04/2025 21:00,"Bình Dương: số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",10.9923,106.6577,53,41.136050146484365,53.15673092041016,,6.14915,,0.8,30.03,62.0,1012.0,5.14
gov,31390903576425084107499649578,08/04/2025 22:00,Hà Nội: ĐHBK cổng Parabol đường Giải Phóng (KK),21.0052,105.8418,85,85.37330791015626,55.39213901515417,,10.2096,9.47221875,2.7870000000000004,24.0,92.0,1014.0,4.07
gov,28560877461938780203765592307,08/04/2025 22:00,Hà Nội: 556 Nguyễn Văn Cừ (KK),21.0491,105.8831,124,123.8535065197697,68.94732067623474,4.952125,14.38,6.947125,5.75532,23.96,93.0,1014.0,3.92
gov,31390908889087377344742439468,08/04/2025 22:00,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),21.0031,105.7947,90,89.88023194514149,66.84220678620584,18.661996,5.4296,1.296625,2.29,24.01,92.0,1014.0,4.34
gov,31390912357075263208060500522,08/04/2025 22:00,HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),10.7823,106.7528,38,36.68031118164063,37.89221982421875,,7.53,,16.717,28.37,68.0,1012.0,4.63
gov,31388851800421997746903202346,08/04/2025 22:00,Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),16.0622,108.1594,53,53.269103897081465,31.13753791503907,16.6051585,4.8021,9.32046875,1.4346800000000002,26.01,83.0,1015.0,1.54
gov,29195707587706641566224751462,08/04/2025 22:00,Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),21.59315,105.8431,199,199.17178816071328,117.12102431640623,7.204556,,,2.9138400000000004,22.36,92.0,1015.0,2.66
gov,28505268571336961948594948504,08/04/2025 22:00,Phú Thọ: đường Hùng Vương - Tp Việt Trì (KK),21.33847,105.3633,111,111.06284897142412,62.93455404966368,,19.42625,23.221343750000003,10.07832,23.12,90.0,1014.0,4.74
gov,31387251434693138681789561386,08/04/2025 22:00,Bắc Giang: Khu liên cơ quan tỉnh Bắc Giang - P. Ngô Quyền - TP. Bắc Giang (KK),21.3015,106.22603,82,82.35667788085938,57.69042313973297,32.4708415,1.1446,10.21484375,17.51932,21.37,93.0,1015.0,3.33
gov,31388883344354363840031242796,08/04/2025 22:00,Hà Nam: Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),20.536,105.9165,53,53.142544921875,,11.008479,5.6255,8.989843749999999,,22.0,96.0,1015.0,2.17
gov,31390932574706768021562473002,08/04/2025 22:00,Long An: UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),10.5391,106.4045,47,46.87189179687498,38.58585996704207,27.6321165,,,1.26932,28.51,71.0,1013.0,5.25
gov,31388839920718814259329251882,08/04/2025 22:00,"Bình Dương: số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",10.9923,106.6577,49,34.52275932617189,48.66497719726563,,5.74125,,0.8,29.03,65.0,1012.0,4.63
gov,31390903576425084107499649578,08/04/2025 23:00,Hà Nội: ĐHBK cổng Parabol đường Giải Phóng (KK),21.0052,105.8418,78,77.66577968750002,53.49048535396728,,8.64,9.47221875,2.70432,23.0,90.0,1014.0,3.98
gov,28560877461938780203765592307,08/04/2025 23:00,Hà Nội: 556 Nguyễn Văn Cừ (KK),21.0491,105.8831,66,65.83111049804687,45.43383623046875,4.4750415,14.38,6.793749999999999,5.738,22.96,90.0,1014.0,3.8
gov,31390908889087377344742439468,08/04/2025 23:00,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),21.0031,105.7947,94,94.41302262052524,69.02963912047227,18.300825,5.29415,1.605625,2.218,23.01,90.0,1014.0,4.23
gov,31390912357075263208060500522,08/04/2025 23:00,HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),10.7823,106.7528,44,43.57929028320312,36.75924567871093,,8.68165,,16.393,28.37,69.0,1012.0,5.14
gov,31388851800421997746903202346,08/04/2025 23:00,Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),16.0622,108.1594,53,52.530575074008325,28.76960554199218,15.4234415,4.21915,13.048593749999998,1.33732,25.01,88.0,1015.0,1.54
gov,29195707587706641566224751462,08/04/2025 23:00,Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),21.59315,105.8431,187,186.51271668713213,103.46518561264368,4.75099,,,2.14176,22.24,91.0,1014.0,2.36
gov,28505268571336961948594948504,08/04/2025 23:00,Phú Thọ: đường Hùng Vương - Tp Việt Trì (KK),21.33847,105.3633,95,95.24952509765625,57.44739884450215,,18.64375,19.6330625,10.02632,23.25,88.0,1014.0,4.36
gov,31387251434693138681789561386,08/04/2025 23:00,Bắc Giang: Khu liên cơ quan tỉnh Bắc Giang - P. Ngô Quyền - TP. Bắc Giang (KK),21.3015,106.22603,74,73.52540620117188,54.30618291015625,34.724708500000006,1.12165,11.765375,18.522,21.54,92.0,1014.0,3.17
gov,31388883344354363840031242796,08/04/2025 23:00,Hà Nam: Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),20.536,105.9165,53,53.19069809570313,,10.636954,4.34375,7.80571875,,21.92,95.0,1014.0,2.34
